번호,candidate_id,canonical_id,한국어명,영문명,category,subcategory,area,address,현재설명여부,최종상태,HOLD이유,source,source_url,후속해결방법
11,gyeongju-GJ01-0013,gyeongju-GJ01-0013,능지탑지,,attraction,,경주시내권,경상북도 경주시 배반동 621-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
12,gyeongju-GJ01-0014,gyeongju-GJ01-0014,대릉원,,attraction,,경주시내권,경상북도 경주시 황남동 31-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,"gyeongju.go.kr/tour (travel-info title match, description unavailable)",https://www.gyeongju.go.kr/tour/page.do?mnu_uid=2689,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
13,gyeongju-GJ01-0015,gyeongju-GJ01-0015,대릉원 돌담길,,attraction,,경주시내권,경상북도 경주시 태종로 783,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
14,gyeongju-GJ01-0016,gyeongju-GJ01-0016,대릉원 미추왕릉,,attraction,,경주시내권,경상북도 경주시 황남동 89-2,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
15,gyeongju-GJ01-0017,gyeongju-GJ01-0017,동궁과 월지,,attraction,,경주시내권,경상북도 경주시 원화로 102,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,"gyeongju.go.kr/tour (travel-info title match, description unavailable)",https://www.gyeongju.go.kr/tour/page.do?mnu_uid=2689,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
16,gyeongju-GJ01-0018,gyeongju-GJ01-0018,동궁과 월지 연꽃단지,,attraction,,경주시내권,경상북도 경주시 양지길 35-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
17,gyeongju-GJ01-0019,gyeongju-GJ01-0019,동부사적지구 꽃단지,,attraction,,경주시내권,경상북도 경주시 황남동 104-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
18,gyeongju-GJ01-0020,gyeongju-GJ01-0020,백률사,,attraction,,경주시내권,경상북도 경주시 산업로 4214-110 (동천동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
19,gyeongju-GJ01-0021,gyeongju-GJ01-0021,봉황대,,attraction,,경주시내권,경상북도 경주시 노동동 261,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
20,gyeongju-GJ01-0022,gyeongju-GJ01-0022,분황사,,attraction,,경주시내권,경상북도 경주시 분황로 94-11 (구황동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
21,gyeongju-GJ01-0023,gyeongju-GJ01-0023,비단벌레 전기자동차,,attraction,,경주시내권,경상북도 경주시 첨성로 149 (황남동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
22,gyeongju-GJ01-0024,gyeongju-GJ01-0024,선덕여왕릉,,attraction,,경주시내권,경상북도 경주시 보문동 산79-2,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
23,gyeongju-GJ01-0025,gyeongju-GJ01-0025,성동시장,,attraction,,경주시내권,경상북도 경주시 경주시 동문로 24번길 12,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
24,gyeongju-GJ01-0026,gyeongju-GJ01-0026,소금강산,,attraction,,경주시내권,경상북도 경주시 경주시 용강상리2길 (용강동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
25,gyeongju-GJ01-0027,gyeongju-GJ01-0027,소소밀밀,,attraction,,경주시내권,경상북도 경주시 경주시 포석로 1092번길 16,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
26,gyeongju-GJ01-0028,gyeongju-GJ01-0028,숭혜전,,attraction,,경주시내권,경상북도 경주시 포석로1050번길 39-11 (황남동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
27,gyeongju-GJ01-0029,gyeongju-GJ01-0029,신라대종,,attraction,,경주시내권,경상북도 경주시 태종로 767 종각,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
28,gyeongju-GJ01-0030,gyeongju-GJ01-0030,신라왕경숲,,attraction,,경주시내권,경상북도 경주시 경주시 구황동 885-6,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
29,gyeongju-GJ01-0031,gyeongju-GJ01-0031,어서어서,,attraction,,경주시내권,경상북도 경주시 경주시 포석로 1083,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
30,gyeongju-GJ01-0033,gyeongju-GJ01-0033,월정교,,attraction,,경주시내권,경상북도 경주시 교동 274,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,"gyeongju.go.kr/tour (travel-info title match, description unavailable)",https://www.gyeongju.go.kr/tour/page.do?mnu_uid=2689,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
31,gyeongju-GJ01-0034,gyeongju-GJ01-0034,중앙시장 야시장,,attraction,,경주시내권,"경상북도 경주시 금성로 295, 중앙시장 (성건동)",False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
32,gyeongju-GJ01-0035,gyeongju-GJ01-0035,천마총,,attraction,,경주시내권,경상북도 경주시 황남동 262,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
33,gyeongju-GJ01-0036,gyeongju-GJ01-0036,첨성대,,attraction,,경주시내권,경상북도 경주시 인왕동 839-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,"gyeongju.go.kr/tour (travel-info title match, description unavailable)",https://www.gyeongju.go.kr/tour/page.do?mnu_uid=2689,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
34,gyeongju-GJ01-0037,gyeongju-GJ01-0037,탈해왕릉,,attraction,,경주시내권,경상북도 경주시 동천동 산 17,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
35,gyeongju-GJ01-0038,gyeongju-GJ01-0038,화랑마을,,attraction,,경주시내권,경상북도 경주시 석장동 1272,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
36,gyeongju-GJ01-0040,gyeongju-GJ01-0040,황룡사역사문화관,,attraction,,경주시내권,경상북도 경주시 임해로 64-19 (구황동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,"gyeongju.go.kr/tour (travel-info title match, description unavailable)",https://www.gyeongju.go.kr/tour/page.do?mnu_uid=2689,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
37,gyeongju-GJ01-0041,gyeongju-GJ01-0041,황룡사지,,attraction,,경주시내권,경상북도 경주시 경주시 구황동 320-2,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
38,gyeongju-GJ01-0042,gyeongju-GJ01-0042,황리단길,,attraction,,경주시내권,경상북도 경주시 포석로 1080 (황남동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
39,gyeongju-GJ01-0044,gyeongju-GJ01-0044,히어로 키즈파크,,attraction,,경주시내권,경상북도 경주시 강변로 200,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
40,gyeongju-GJ01-0045,gyeongju-GJ01-0045,경상북도 산림환경 연구원,,attraction,,남산권,경상북도 경주시 통일로 367 (배반동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
41,gyeongju-GJ01-0046,gyeongju-GJ01-0046,경주 남산 늠비봉오층석탑,,attraction,,남산권,"경상북도 경주시 남산순환로 525-26, 부흥사 (배동)",False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
42,gyeongju-GJ01-0047,gyeongju-GJ01-0047,경주 남산 신선암 마애보살반가상,,attraction,,남산권,경상북도 경주시 칠불암길 201 (남산동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
43,gyeongju-GJ01-0048,gyeongju-GJ01-0048,경주 남산 용장사곡삼층석탑,,attraction,,남산권,경상북도 경주시 용장리 산 1-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
44,gyeongju-GJ01-0049,gyeongju-GJ01-0049,나정,,attraction,,남산권,경상북도 경주시 탑동 700-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
45,gyeongju-GJ01-0050,gyeongju-GJ01-0050,남산 불곡 마애여래좌상 (부처골 감실여래좌상),,attraction,,남산권,경상북도 경주시 인왕동 산56번지,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
46,gyeongju-GJ01-0051,gyeongju-GJ01-0051,남산 탑곡 마애불상군,,attraction,,남산권,"경상북도 경주시 배반동 산 72, 산79",False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
47,gyeongju-GJ01-0052,gyeongju-GJ01-0052,남산탐방길,,attraction,,남산권,경상북도 경주시 교동 153-5,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
48,gyeongju-GJ01-0053,gyeongju-GJ01-0053,보리사,,attraction,,남산권,경상북도 경주시 갯마을길 41-30,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
49,gyeongju-GJ01-0054,gyeongju-GJ01-0054,삼릉,,attraction,,남산권,경상북도 경주시 배동 산73-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
50,gyeongju-GJ01-0055,gyeongju-GJ01-0055,서출지,,attraction,,남산권,경상북도 경주시 남산1길 17,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
51,gyeongju-GJ01-0056,gyeongju-GJ01-0056,오릉,,attraction,,남산권,경상북도 경주시 탑동 67-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
52,gyeongju-GJ01-0057,gyeongju-GJ01-0057,용산서원,,attraction,,남산권,경상북도 경주시 내남면 포석로 110-34,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
53,gyeongju-GJ01-0058,gyeongju-GJ01-0058,충의당,,attraction,,남산권,경상북도 경주시 내남면 이조3길 28-17,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
54,gyeongju-GJ01-0059,gyeongju-GJ01-0059,칠불암,,attraction,,남산권,경상북도 경주시 칠불암길 201 (남산동),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
55,gyeongju-GJ01-0060,gyeongju-GJ01-0060,통일전,,attraction,,남산권,경상북도 경주시 칠불암길 6,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
56,gyeongju-GJ01-0061,gyeongju-GJ01-0061,통일전 은행나무길,,attraction,,남산권,경상북도 경주시 칠불암길 6(통일전),False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
57,gyeongju-GJ01-0062,gyeongju-GJ01-0062,포석정,,attraction,,남산권,경상북도 경주시 배동 454-1,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
58,gyeongju-GJ01-0063,gyeongju-GJ01-0063,헌강왕릉과 정강왕릉,,attraction,,남산권,경상북도 경주시 남산동 산 55,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
59,gyeongju-GJ01-0064,gyeongju-GJ01-0064,감포공설시장,,attraction,,동해권,경상북도 경주시 감포읍 감포로 115,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
60,gyeongju-GJ01-0066,gyeongju-GJ01-0066,감포해국길,,attraction,,동해권,경상북도 경주시 감포읍 감포로 119-6,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
61,gyeongju-GJ01-0067,gyeongju-GJ01-0067,경주 감은사지,,attraction,,동해권,경상북도 경주시 문무대왕면 용당리 55-9,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
62,gyeongju-GJ01-0068,gyeongju-GJ01-0068,경주 양남 주상절리,,attraction,,동해권,경상북도 경주시 양남면 양남항구길 14-3,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
63,gyeongju-GJ01-0069,gyeongju-GJ01-0069,경주 이견대,,attraction,,동해권,경상북도 경주시 감포읍 동해안로 1480-12,False,HOLD_SOURCE_ACCESS,gyeongju.go.kr/tour attraction LISTING pages verified as JavaScript-rendered: mnu=2266 (권역별관광지)=navigation_landing_no_it,gyeongju.go.kr/tour (target source — listing JS-rendered),,gyeongju.go.kr/tour browser-rendered listing crosswalk OR manual con_uid table required
