번호,candidate_id,canonical_id,한국어명,영문명,category,subcategory,district,address,현재이미지,최종상태,HOLD이유,source,source_url,후속해결방법
39,busan-K-00035,busan-K-00035,사상문화원,,attraction,,사상구,부산광역시 사상구 가야대로196번길 51,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
40,busan-K-00052,busan-K-00052,함지골청소년수련관,,attraction,,영도구,부산광역시 영도구 절영로 321,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
41,busan-K-00053,busan-K-00053,영도관광실탄사격장,,attraction,,영도구,부산광역시 영도구 절영로 319,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
42,busan-K-00068,busan-K-00068,18번완당집,,restaurant,,중구,부산광역시 중구 비프광장로 31,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
43,busan-K-00070,busan-K-00070,대궐안집,,restaurant,,사상구,부산광역시 사상구 광장로 68,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
44,busan-K-00072,busan-K-00072,원조소문난산곰장어,,restaurant,,동래구,부산광역시 동래구 금강공원로26번길 34,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
45,busan-K-00073,busan-K-00073,금문,,restaurant,,동래구,부산광역시 동래구 온천장로119번길 57,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
46,busan-K-00074,busan-K-00074,산성청송가든,,restaurant,,금정구,부산광역시 금정구 산성로 516,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
47,busan-K-00075,busan-K-00075,구덕민속촌,,restaurant,,사상구,부산광역시 사상구 학감대로39번안길 15-17,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
48,busan-K-00102,busan-K-00102,토비코,,restaurant,,금정구,부산광역시 금정구 금정로 45,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
49,busan-K-00109,busan-K-00109,아미산,,restaurant,,해운대구,부산광역시 해운대구 해운대해변로 154,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
50,busan-K-00117,busan-K-00117,급행장,,restaurant,,부산진구,부산광역시 부산진구 서면문화로 4,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
51,busan-K-00119,busan-K-00119,다원,,restaurant,,부산진구,부산광역시 부산진구 서면문화로 23-1,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
52,busan-K-00120,busan-K-00120,명수정,,restaurant,,금정구,부산광역시 금정구 구서로 23,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
53,busan-K-00121,busan-K-00121,조방본가낙지,,restaurant,,부산진구,부산광역시 부산진구 골드테마길 2-13,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
54,busan-K-00122,busan-K-00122,오사카,,restaurant,,사하구,부산광역시 사하구 낙동대로324번길 2,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
55,busan-K-00123,busan-K-00123,외식1번가,,restaurant,,해운대구,부산광역시 해운대구 해운대로 425,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
56,busan-K-00124,busan-K-00124,용궁해물야채쟁반짜장,,restaurant,,기장군,부산광역시 기장군 기장읍 기장해안로 208,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
57,busan-K-00125,busan-K-00125,원조 범일동 매떡,,restaurant,,부산진구,부산광역시 부산진구 골드테마길 52-2,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
58,busan-K-00126,busan-K-00126,장성향,,restaurant,,동구,부산광역시 동구 대영로243번길 29,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
59,busan-K-00128,busan-K-00128,상국이네,,restaurant,,해운대구,부산광역시 해운대구 구남로41번길 40-1,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
60,busan-K-00130,busan-K-00130,문화쌈밥,,restaurant,,남구,부산광역시 남구 유엔평화로 72,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
61,busan-K-00131,busan-K-00131,일품한우,Ilpum Hanwoo (일품한우),restaurant,,해운대구,부산광역시 해운대구 해운대로570번길 49,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
62,busan-K-00150,busan-K-00150,초원농원,,restaurant,,사상구,부산광역시 사상구 낙동대로 1498 주식회사 국제식품,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
63,busan-K-00169,busan-K-00169,일번지자갈치산곰장어,,restaurant,,해운대구,부산광역시 해운대구 구남로41번길 12,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
64,busan-K-00170,busan-K-00170,해동횟집,,restaurant,,기장군,부산광역시 기장군 기장읍 기장해안로 603,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
65,busan-K-00171,busan-K-00171,수민이네,,restaurant,,해운대구,부산광역시 해운대구 청사포로58번길 118,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
66,busan-K-00173,busan-K-00173,아델라7,,restaurant,,해운대구,부산광역시 해운대구 좌동로 111,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
67,busan-K-00175,busan-K-00175,부전돼지국밥,,restaurant,,사상구,부산광역시 사상구 사상로 214,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
68,busan-K-00227,busan-K-00227,오막집,,restaurant,,해운대구,부산광역시 해운대구 해운대해변로209번나길 28,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
69,busan-K-00239,busan-K-00239,[백년가게]옥미아구찜,,restaurant,,수영구,부산광역시 수영구 망미번영로55번길 35,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
70,busan-K-00255,busan-K-00255,그림하우스,,accommodation,,해운대구,부산광역시 해운대구 송정구덕포길 64,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
71,busan-K-00256,busan-K-00256,팝콘 호스텔 해운대점,,accommodation,,해운대구,부산광역시 해운대구 해운대해변로 321,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
72,busan-K-00264,busan-K-00264,싱글싱글,,accommodation,,동구,부산광역시 동구 초량중로 18-1,False,HOLD_BROWSER_ENV_REQUIRED,VisitBusan listing pages are JavaScript-rendered (HTTP returns nav shell). VisitBusan detail pages are HTTP_HTML_ACCESSI,VisitBusan (visitbusan.net),,VisitBusan browser-rendered listing crosswalk required (Playwright/Selenium)
