candidate_id,image_url,image_source_domain,image_source_type,source_page_url,license_evidence_url,license_checked_at,copyright_holder,license_type,license_verification,commercial_use,modification_use,attribution_required,required_attribution_text,operational_image_decision,evidence_level,decision_reason
busan-A-00029,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226093554532_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00030,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226100545553_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00031,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226101451768_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00032,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226102157667_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00033,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226105751809_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00034,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110347271_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00035,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226110901484_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00036,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226113720642_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00037,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226115628787_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00038,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226132135171_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00039,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226132812226_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00040,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226143325464_ttiel,www.visitbusan.net,editorial_tourism,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=304&lang_cd=ko,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00041,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226152407686_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00042,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226182356876_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00043,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226183133502_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00044,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226184130120_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00045,https://www.visitbusan.net/uploadImgs/files/cntnts/20230602100722403_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00046,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227112720050_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00047,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227160751479_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00048,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227161822663_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00049,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227163229549_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00050,https://www.visitbusan.net/uploadImgs/files/cntnts/20230901132543063_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00051,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227175243198_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00052,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227180139517_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00053,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227181259877_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00054,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227184611977_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00055,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227190325222_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00056,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227194942971_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00057,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202219554_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00058,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227202829011_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00059,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227203859552_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00060,https://www.visitbusan.net/uploadImgs/files/cntnts/20191227204420832_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00061,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229141716592_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00062,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229142305006_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00063,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229143230630_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00064,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229144834500_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00065,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229145728609_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00066,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150331682_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00067,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150845004_ttiel,www.visitbusan.net,editorial_tourism,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=370&lang_cd=ko,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
busan-A-00068,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229151710512_ttiel,www.visitbusan.net,editorial_tourism,,,2026-07-25,"VisitBusan / 부산광역시 (도메인 추정, 미확인)",unknown,unverified,unknown,unknown,unknown,,review_required,domain_inferred,"VB 도메인 기반 분류. image_source 미기록, image_license 미기록. 공식 이용약관 미확인 — 상업 사용 개별 허가 필요."
