source_key,content_type,uc_seq,language,title_ko,address,phone,lat,lon,hours,closed_days,website,representative_menu,image_url,category_label,language_available,parse_status,missing_required_fields,source_detail_url,collected_at
VisitBusanContent:attraction:2408:ko,attraction,2408,ko,"골목마다 예술이 피어나는 마을, 기장 대룡마을",부산광역시 기장군 장안읍 대룡1길 17,,35.370792,129.2628,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2408&lang_cd=ko,2026-07-24T04:30:15.219Z
VisitBusanContent:attraction:2314:ko,attraction,2314,ko,범어사 성보박물관에서 불교문화의 깊이에 빠지다,부산광역시 금정구 범어사로 296,051-508-6139,35.278435,129.0744,화요일~일요일 09:30~17:00,"매주 월요일, 설 추석 연휴",http://www.beomeomuseum.org,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2314&lang_cd=ko,2026-07-24T04:30:16.086Z
VisitBusanContent:attraction:2299:ko,attraction,2299,ko,"도심 속 자연에서 상쾌한 체육활동, 황령산레포츠공원",부산광역시 부산진구 진남로328번길 99,051-605-4128,35.15709,129.07631,,,https://www.busanjin.go.kr/index.busanjin,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2299&lang_cd=ko,2026-07-24T04:30:16.935Z
VisitBusanContent:attraction:2288:ko,attraction,2288,ko,"삶의 흔적이 예술로 변하는 공간, 영주맨션","부산광역시 중구 영초길 51 9-다, 지하5호",,35.113503,129.03278,전시기간 중 운영 : 매일 10:00~18:00,,https://youngjumansion.wixsite.com/main/bio,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2288&lang_cd=ko,2026-07-24T04:30:17.771Z
VisitBusanContent:attraction:2284:ko,attraction,2284,ko,"부산 원도심에서 만나는 독립영화관, BNK부산은행 아트시네마 모퉁이극장",부산광역시 중구 광복중앙로 13 3층,051-256-1895,35.1006,129.0309,매일 10:00~22:00,,https://www.dtryx.com/cinema/main.do?cgid=FE8EF4D2-F22D-4802-A39A-D58F23A29C1E&BrandCd=etc&CinemaCd=000097,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2284&lang_cd=ko,2026-07-24T04:30:18.588Z
VisitBusanContent:attraction:2275:ko,attraction,2275,ko,낙동강 강변뷰가 아름다운 섬 ‘중사도’에서 특별한 자연 여행,부산광역시 강서구 식만동,051-970-4000(강서구청),35.20947,128.91457,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=2275&lang_cd=ko,2026-07-24T04:30:19.430Z
VisitBusanContent:food:2386:ko,food,2386,ko,히떼로스터리 전포점,부산진구 동성로 59 2층,070-7607-7060,35.15574,129.06819,10:00-20:00,연중무휴,https://www.busan.go.kr/vprivacy1,"필터커피 ￦6,000 카페라떼 ￦5,500",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2386&lang_cd=ko,2026-07-24T04:30:20.268Z
VisitBusanContent:food:2384:ko,food,2384,ko,우봉샤브,해운대구 청사포로 127,0507-1349-9256,35.1607,129.19267,11:00-15:00 / 17:00-21:00,월요일 휴무,https://www.busan.go.kr/vprivacy1,"한우 차돌박이 샤브샤브(1인) ￦19,000 2인 세트메뉴 ￦58,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2384&lang_cd=ko,2026-07-24T04:30:21.163Z
VisitBusanContent:food:2381:ko,food,2381,ko,고기형,수영구 수영로679번길 22,0507-1445-9312,35.166687,129.11377,17:00-02:00,연중무휴,https://www.busan.go.kr/vprivacy1,"육식주의세트(2인) ￦125,000 한우우설(100g) ￦25,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2381&lang_cd=ko,2026-07-24T04:30:21.982Z
VisitBusanContent:food:2379:ko,food,2379,ko,대성갈치찌개구이,기장군 기장읍 대변2길 9,051-721-2289,35.2239,129.23161,11:00-20:30,연중무휴,https://www.busan.go.kr/vprivacy1,"갈치찌개 1인분 ￦43,000 갈치구이 1인분 ￦43,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2379&lang_cd=ko,2026-07-24T04:30:22.819Z
VisitBusanContent:food:2371:ko,food,2371,ko,연화제과,부산진구 새싹로 265번길 12,0507-1415-4191,35.179752,129.04688,11:00-18:00,"매주 화, 수요일 휴무",https://www.busan.go.kr/vprivacy1,케이크(가격변동) 계절마다 변동 구움과자(가격변동) 달마다 조금씩 변동,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2371&lang_cd=ko,2026-07-24T04:30:23.700Z
VisitBusanContent:food:2370:ko,food,2370,ko,해운대암소갈비집,해운대구 해운대해변로333,051-746-3333,35.163258,129.16626,11:30-15:00/17:00-22:00,연중무휴,https://www.busan.go.kr/vprivacy1,"생갈비 ￦58,000 양념갈비 ￦54,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2370&lang_cd=ko,2026-07-24T04:30:24.550Z
VisitBusanContent:food:2367:ko,food,2367,ko,청산1954,수영구 황령산로 29,051-622-1954,35.148266,129.10788,11:00-15:30 / 17:00-20:50,매달 마지막 주 수요일(명절 혹은 공휴일 있는 달 변동) 휴무,https://www.busan.go.kr/vprivacy1,"편백낙지보쌈(1人) ￦23,000 오독낙지볶음(1人) ￦14,500",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2367&lang_cd=ko,2026-07-24T04:30:25.387Z
VisitBusanContent:food:2366:ko,food,2366,ko,조이풀조이풀(골드핀치by조이풀조이풀),"수영구 민락본동로11번길 21, 1층",0507-1342-3814,35.157604,129.1274,18:00-23:00,"일요일, 격주 월요일 휴무",https://www.busan.go.kr/vprivacy1,"한판모둠스시 ￦35,000 마보도후 ￦17,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2366&lang_cd=ko,2026-07-24T04:30:26.209Z
VisitBusanContent:food:2365:ko,food,2365,ko,자매국밥,수영구 민락본동로27번길 56,051-752-1912,35.158283,129.12569,10:00-21:00,일요일 휴무,https://www.busan.go.kr/vprivacy1,"수육한접시 ￦10,000 돼지국밥 ￦9,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2365&lang_cd=ko,2026-07-24T04:30:27.072Z
VisitBusanContent:food:2364:ko,food,2364,ko,으뜸이로리바타,"수영구 수영로408번길 20, 1층",0507-1460-4790,35.141987,129.10915,월-목 19:00-22:00(1부제) 금-토 17:30~22:00(2부제),"일요일, 매달 2, 4번째 월요일 휴무",https://www.busan.go.kr/vprivacy1,"오마카세 코스 ￦100,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2364&lang_cd=ko,2026-07-24T04:30:27.995Z
VisitBusanContent:food:2363:ko,food,2363,ko,우리포차,"수영구 광일로29번길 9, 1층",010-8033-6342,35.161915,129.11087,16:00-23:00,일요일 휴무,https://www.busan.go.kr/vprivacy1,"대방어 소 ￦65,000 / 중 ￦90,000 / 대 ￦115,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2363&lang_cd=ko,2026-07-24T04:30:28.813Z
VisitBusanContent:food:2362:ko,food,2362,ko,야키토리 해공,"수영구 민락본동로 19번길 30-5, 1층",051-758-8333,35.158234,129.1271,17:30-23:30,일요일 휴무,https://www.busan.go.kr/vprivacy1,"토종닭 야키토리 오마카세 ￦59,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2362&lang_cd=ko,2026-07-24T04:30:29.650Z
VisitBusanContent:food:2361:ko,food,2361,ko,야키토리 백탄,"수영구 민락로13번길 21, 2층",0507-1332-6043,35.15614,129.1215,17:30-23:30,월요일 휴무,https://www.busan.go.kr/vprivacy1,"백코스 ￦35,000 탄코스 ￦19,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2361&lang_cd=ko,2026-07-24T04:30:30.460Z
VisitBusanContent:food:2360:ko,food,2360,ko,아펙트,"수영구 무학로 64번길 31, 1층",0507-1307-7822,35.159874,129.12129,18:00-21:00,"일, 월요일 휴무",https://www.busan.go.kr/vprivacy1,"오징어세비체 ￦28,000 시금치 쉬림프 오일 소스 타야린 ￦25,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2360&lang_cd=ko,2026-07-24T04:30:31.279Z
VisitBusanContent:food:2359:ko,food,2359,ko,백일평냉,"수영구 남천바다로10번길 29, 1층",051-625-5515,35.148556,129.11166,11:30-15:30 / 17:00-19:00,연중 무휴,https://www.busan.go.kr/vprivacy1,"평양냉면 ￦13,000 비빔냉면 ￦13,000",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2359&lang_cd=ko,2026-07-24T04:30:32.174Z
VisitBusanContent:food:2358:ko,food,2358,ko,데일리럭키,수영구 수영로 540번길 7,0507-1330-1707,35.153927,129.11264,07:00-20:00,연중무휴,https://www.busan.go.kr/vprivacy1,"이탈리안햄치즈샌드 ￦9,200 당근라페 샌드위치 ￦8,700",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2358&lang_cd=ko,2026-07-24T04:30:33.124Z
VisitBusanContent:shopping:2670:ko,shopping,2670,ko,"서부산 쇼핑의 중심, 르네시떼",부산 사상구 광장로 7 르네시떼,051-319-5000,35.164616,128.97768,화~일 / 10:30~21:00,매주 월요일,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2670&lang_cd=ko,2026-07-24T04:30:34.058Z
VisitBusanContent:shopping:2662:ko,shopping,2662,ko,"부산의 분위기와 스토리를 담은 향수·라이프스타일 향 브랜드, 센티카",광안점: 부산 수영구 광안로 25 전포점: 부산 부산진구 전포대로199번길 12,광안점: 010-2922-1015 전포점: 010-9953-1219,35.1563,129.11546,"광안점, 전포점: 매일 11시~21시",,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2662&lang_cd=ko,2026-07-24T04:30:36.624Z
VisitBusanContent:shopping:2589:ko,shopping,2589,ko,"무지개다리에서 시작하는 골동품 여행, 문현동 골동품거리",부산광역시 남구 자유평화로57번길 33,,35.14279,129.06499,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2589&lang_cd=ko,2026-07-24T04:30:37.550Z
VisitBusanContent:shopping:2581:ko,shopping,2581,ko,바다처럼,부산 해운대구 우동1로38번길 15-1 1층,,35.165718,129.15836,매일 10:00~21:00,,https://www.instagram.com/pretty_whale.shop/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2581&lang_cd=ko,2026-07-24T04:30:38.457Z
VisitBusanContent:shopping:2580:ko,shopping,2580,ko,"1987년부터 운영된 전통있는 주방용품 전문점, 삼영그릇 탐방기",부산 해운대구 구남로41번길 5,,35.160862,129.16159,월~목 09:00~20:00 금~토 09:00~21:00,일요일,https://www.instagram.com/samyeong_jubang/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2580&lang_cd=ko,2026-07-24T04:30:39.372Z
VisitBusanContent:shopping:2579:ko,shopping,2579,ko,"달콤한 부산의 매력,",부산 해운대구 우동1로 13-29 1층,,35.163223,129.15552,매일 10:00~20:00,,https://busansand.co.kr/,"부산샌드 17,000원 / 산딸기샌드 18,000원 / 블루베리샌드 18,000원 / 초코샌드 18,000원",,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2579&lang_cd=ko,2026-07-24T04:30:40.211Z
VisitBusanContent:shopping:2555:ko,shopping,2555,ko,미피 덕후 모여라!,부산광역시 영도구 와치로51번길 2,,35.088093,129.0609,월~금 - 11:00 ~ 22:00 (21:00 라스트 오더) 토~일 - 11:00 ~ 23:00 (22:00 라스트 오더),,https://www.instagram.com/miffy_cafe_busan/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2555&lang_cd=ko,2026-07-24T04:30:41.100Z
VisitBusanContent:shopping:2541:ko,shopping,2541,ko,"청사포에서 인생샷 찍고 소품 쇼핑까지, 부산슈퍼 청사포점",부산광역시 해운대구 청사포로 120 2층,051-780-2111,35.161224,129.19183,매일 10:00 ~ 18:00,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2541&lang_cd=ko,2026-07-24T04:30:41.945Z
VisitBusanContent:shopping:2539:ko,shopping,2539,ko,엽서가 주는 아날로그 감성을 느끼고 싶다면? ‘포셋 전포’로!,부산 부산진구 전포대로223번길 20 C동 202호,0507-1317-8836,35.156708,129.0641,화~일 12:00~20:00,월요일,https://poset.co.kr,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2539&lang_cd=ko,2026-07-24T04:30:42.778Z
VisitBusanContent:shopping:2537:ko,shopping,2537,ko,부드러운 색감과 감성 소품이 가득한 ‘오월상점’,부산 부산진구 전포대로209번길 9 1층,0507-1348-6526,35.155327,129.06458,월~금 - 12:00 ~ 21:00 (15:30 ~ 16:30 휴게시간) 토~일 - 12:00 ~ 21:00,,http://instagram.com/5maystore_3,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2537&lang_cd=ko,2026-07-24T04:30:43.651Z
VisitBusanContent:shopping:2417:ko,shopping,2417,ko,구경만 하러 갔다가 지갑을 열게 되는 소품샵 ‘오브젝트 서면점’,부산 부산진구 전포대로209번길 11,051-808-7747,35.155327,129.06444,매일 12:00 ~ 21:00,,http://www.insideobject.com/index.html,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2417&lang_cd=ko,2026-07-24T04:30:44.477Z
VisitBusanContent:shopping:2398:ko,shopping,2398,ko,딜라이트 프로젝트 해운대점,부산 해운대구 구남로 42 101호,051-747-5720,35.160458,129.16116,매일 11시~22시,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2398&lang_cd=ko,2026-07-24T04:30:45.333Z
VisitBusanContent:shopping:2252:ko,shopping,2252,ko,"행복한 라이프스타일을 선물하는 소품샵, ‘페이퍼가든’",부산광역시 부산진구 전포대로210번길 8 2층,0507-1493-1611,35.15533,129.066,매일 11:00~22:00,,https://www.instagram.com/papergarden.korea,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2252&lang_cd=ko,2026-07-24T04:30:46.245Z
VisitBusanContent:shopping:2241:ko,shopping,2241,ko,"부산의 매력을 가득 담은 도시브랜드숍, ‘BIG shop’",부산광역시 중구 광복로 87-1 부산광복동우체국,051-254-1210,35.09869,129.03448,매일 10:30~21:00,,https://www.instagram.com/busan_bigshop/?hl=ko,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2241&lang_cd=ko,2026-07-24T04:30:47.130Z
VisitBusanContent:shopping:2165:ko,shopping,2165,ko,"키덜트들, 여기여기 모여라! 키덜트들의 방앗간, ‘아비베르컴퍼니’",부산 진구 동천로66 1층,0507-1342-6835,35.15461,129.06255,매일 11:00 - 23:00,,https://www.avivere.co.kr/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2165&lang_cd=ko,2026-07-24T04:30:47.993Z
VisitBusanContent:shopping:2141:ko,shopping,2141,ko,(2024)부산관광기념품10선 3기,,,35.179615,129.07797,,,http://jagalchiojimae.com//,,,마이페이지,ko,ok,address,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201003001000&uc_seq=2141&lang_cd=ko,2026-07-24T04:30:48.883Z
VisitBusanContent:experience:2789:ko,experience,2789,ko,"부산의 아침을 함께 달린 따뜻한 하루, 모모스커피와 함께한 기부 러닝&플로깅 행사 후기",,,35.219234,129.08647,,,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,address,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2789&lang_cd=ko,2026-07-24T04:30:49.749Z
VisitBusanContent:experience:2784:ko,experience,2784,ko,"부산에서 만나는 새로운 휴식, 부산다운 웰니스 커뮤니티",부산 금정구 놀이마당공원에서 만나 범어숲까지 함께 걸으며 자연 속에서 천천히 이야기를 나눕니다.,,35.046528,128.96274,,,https://www.instagram.com/lifeinspiredwithjuhee/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2784&lang_cd=ko,2026-07-24T04:30:50.609Z
VisitBusanContent:experience:2763:ko,experience,2763,ko,"부산 최고 수준의 시설을 자랑하는 웰메이드 소극장, KNN시어터","부산 해운대구 센텀서로 30, KNN타워 B1",051-664-8400,35.171837,129.12862,사무실 운영시간 월~금: 10:00 ~ 18:30,"토, 일: 휴무",https://nol.yanolja.com/ticket/products/26001679,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2763&lang_cd=ko,2026-07-24T04:30:51.475Z
VisitBusanContent:experience:2755:ko,experience,2755,ko,부산교육역사관,부산광역시 사하구 옥천로 130,,35.096863,129.0111,"관람시간: 09:00~17:00 (월요일, 공휴일 휴관)","월요일, 공휴일 휴관",https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2755&lang_cd=ko,2026-07-24T04:30:52.360Z
VisitBusanContent:experience:2704:ko,experience,2704,ko,"부산에서 만나는 특별한 한식 쿠킹클래스, 배로모디","부산광역시 중구 중앙대로 29번길 8, B1 배로모디",전화번호 010-9387-7816 인스타그램 @baeromodi 메일 baeromodi@gmail.com,35.100166,129.0357,,,https://www.baeromodi.com/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2704&lang_cd=ko,2026-07-24T04:30:53.246Z
VisitBusanContent:experience:2703:ko,experience,2703,ko,오륜대 초록신선이야기,부산 금정구 오륜동,,35.24602,129.117,"2026년 4월 25일(토), 5월 23일(토), 6월 27일(토), 7월 11일(토), 9월 19일(토), 10월 24일(토) 오전 7시 ~ 9시",,https://smartstore.naver.com/5cycle,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2703&lang_cd=ko,2026-07-24T04:30:54.096Z
VisitBusanContent:experience:2586:ko,experience,2586,ko,브레이크 아웃 이스케이프: 부산의 숨은 모험을 깨우다,해운대점: 부산 해운대구 해운대해변로 291 크리스탈비치오피스텔 609호 광안리점: 부산 수영구 남천바다로 33번길 47 마린빌딩 2층,해운대점: 0507-1404-0837 광안리점: 0507-1449-9104,35.160736,129.16245,매일 10:00~23:00,연중무휴,https://busan.breakoutescapegame.com/ko/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2586&lang_cd=ko,2026-07-24T04:30:54.928Z
VisitBusanContent:experience:2557:ko,experience,2557,ko,"일상 속 영감을 채우는 공간, 사바이사바이 전포","부산 진구 전포대로223번길 19, a동 1층 사바이사바이",010-6832-3648,35.15641,129.06404,,"매주 목요일 휴무, 이외 요일 정상운영 / 12시-19시",https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2557&lang_cd=ko,2026-07-24T04:30:55.877Z
VisitBusanContent:experience:2410:ko,experience,2410,ko,권은비 X 빠니보틀! 이번엔 아이더 샬레로 부산 정복!,,,35.28047,129.0506,,,https://youtu.be/ok0TWQWnaIM?feature=shared,,,마이페이지,ko,ok,address,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2410&lang_cd=ko,2026-07-24T04:30:56.859Z
VisitBusanContent:experience:2401:ko,experience,2401,ko,부산 오키친 쿠킹하우스,부산광역시 해운대구 센텀북대로 60 센텀IS타워 12층 오키친 쿠킹하우스,080-024-2311,35.174942,129.12723,,,https://www.otoki.com/brand/oKitchen,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2401&lang_cd=ko,2026-07-24T04:30:57.789Z
VisitBusanContent:experience:2397:ko,experience,2397,ko,"체험하며 만나는 진짜 부산 바다, 공수어촌체험휴양마을",부산광역시 기장군 기장읍 공수1길 18,051-723-1919,35.183426,129.21175,,,https://cms.seantour.com/BS003/index.do,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2397&lang_cd=ko,2026-07-24T04:30:58.659Z
VisitBusanContent:experience:2309:ko,experience,2309,ko,"부산 e스포츠 경기장, 새로운 차원의 스포츠를 만나다!","부산광역시 부산진구 중앙대로 672 삼정타워 15, 16층",0507-1472-5330,35.153015,129.0596,화요일~일요일 11:00~20:00,매주 월요일,http://www.brena.or.kr,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2309&lang_cd=ko,2026-07-24T04:30:59.514Z
VisitBusanContent:experience:2308:ko,experience,2308,ko,강아지를 위한 넓은 천연잔디 운동장&카페 ‘그랑독’,부산광역시 강서구 가락대로 1274 (봉림동)그랑독,010-5768-3379,35.178677,128.9015,"월요일~수요일, 금요일 11:00~19:00 / 주말 10:00~19:00",매주 목요일 정기휴무,https://www.instagram.com/grandog_official/,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2308&lang_cd=ko,2026-07-24T04:31:00.333Z
VisitBusanContent:experience:2307:ko,experience,2307,ko,"스포츠 덕후들의 성지, 켈틱타이거",부산광역시 부산진구 서면로 38,0507-1337-8013,35.154106,129.05801,"화~목, 일 17:00~02:00 / 금~토 17:00~03:00",매주 월요일 휴무,https://www.busan.go.kr/vprivacy1,,,마이페이지,ko,ok,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000202008001000&uc_seq=2307&lang_cd=ko,2026-07-24T04:31:01.244Z
