visitbusan_source_key,visitbusan_uc_seq,visitbusan_title_ko,visitbusan_content_type,canonical_id,canonical_title,distance_m,title_similarity,category_compatible,match_status,match_confidence,match_method,visitbusan_hours,visitbusan_address,visitbusan_phone,visitbusan_external_official_url,visitbusan_source_detail_url,canonical_image_url,provenance_note,review_reason
VisitBusanContent:attraction:1718:ko,1718,다대포해변공원,attraction,busan-A-00134,"다대포해변공원(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,상시,부산광역시 사하구 다대동 1674,051-220-5895,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1718&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230921171143286_ttiel,canon:AttractionService:1718:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1709:ko,1709,박태준 기념관,attraction,busan-A-00133,"박태준기념관(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,09:00~18:00 (입장 마감 17:30),부산광역시 기장군 장안읍 임랑해안길 1,051-709-3975,https://www.gijang.go.kr/ptjmemorial/main.do,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1709&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230914182558311_ttiel,canon:AttractionService:1709:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1696:ko,1696,국제커피박물관,attraction,busan-A-00132,"국제커피박물관(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,화요일~일요일 11:00-18:00(입장마감 17:30),"부산광역시 동구 중앙대로 380(좌천동, 구.부산진역)",0507-1324-9760,https://www.instagram.com/international_coffee_museum/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1696&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230818114709553_ttiel,canon:AttractionService:1696:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1677:ko,1677,감전야생화단지,attraction,busan-A-00131,"감전야생화단지(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,상시,부산광역시 사상구 감전동 873,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1677&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230723172025932_ttiel,canon:AttractionService:1677:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1676:ko,1676,금빛노을브릿지,attraction,busan-A-00130,"금빛노을브릿지(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,상시,부산광역시 북구 구포동,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1676&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230720175854890_ttiel,canon:AttractionService:1676:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1674:ko,1674,맥도생태공원,attraction,busan-A-00129,"맥도생태공원(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,상시,부산광역시 강서구 대저2동 1200-32,051-941-9728,https://www.busan.go.kr/nakdong/macdopark01,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1674&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230713150615959_ttiel,canon:AttractionService:1674:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1673:ko,1673,대저생태공원,attraction,busan-A-00128,"대저생태공원(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,매일 06:00-21:00,부산 강서구 대저1동 1-5,051-971-6011,https://www.busan.go.kr/nakdong/daejeopark01,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1673&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230713153840580_ttiel,canon:AttractionService:1673:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1671:ko,1671,부산현대미술관,attraction,busan-A-00127,"부산현대미술관(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,화~일 10:00~18:00(17:30 입장마감),부산광역시 사하구 낙동남로 1191,051-220-7400,https://www.busan.go.kr/moca,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1671&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230707174450394_ttiel,canon:AttractionService:1671:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1653:ko,1653,서면미술관,attraction,busan-A-00126,"서면미술관(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,11:00 ~ 19:00 (발권 마감 18:00),"부산광역시 부산진구 동천로 58, 2층",051-805-0555,https://www.instagram.com/smma.official/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1653&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20230623172451559_ttiel,canon:AttractionService:1653:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1329:ko,1329,힙함 가득한 전포공구길,attraction,busan-A-00120,"힙함 가득한 전포공구길(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,가게별 상이,부산광역시 부산진구 서전로37번길 20,0507-1416-0087,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1329&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20220921114402310_ttiel,canon:AttractionService:1329:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1310:ko,1310,롯데월드 어드벤처 부산,attraction,busan-A-00118,"롯데월드 어드벤처 부산 (한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,10:00 ~ 20:00 (월~금) 10:00 ~ 21:00 (토~일) *자세한 운영시간은 홈페이지 참조,부산광역시 기장군 기장읍 동부산관광로 42,1661-2000,https://adventurebusan.lotteworld.com/kor/main/index.do,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1310&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20220901105446739_ttiel,canon:AttractionService:1310:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1305:ko,1305,광안종합시장,attraction,busan-A-00117,"광안종합시장 (한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,가게별 상이,부산광역시 수영구 무학로49번길 71,051-752-8107,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1305&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20220711140504179_ttiel,canon:AttractionService:1305:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1024:ko,1024,기장 달음산 자연휴양림,attraction,busan-A-00112,"기장 달음산 자연휴양림(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,일일개장 09:00~18:00 숙박시설 입실 당일 15:00~18:00 / 퇴실 익일 09:00~11:00 운영요일: 수요일~월요일,부산광역시 기장군 일광면 화용길 299-106,051-722-3023,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0202,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1024&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20201201103753100_ttiel,canon:AttractionService:1024:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1016:ko,1016,턴 투워드 부산(Turn Toward Busan),attraction,busan-A-00111,"턴투워드부산(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,"매일, 유엔기념공원: 9:00 ~ 18:00 / 동절기 17:00 유엔평화기념관 10:00~18:00 (입장 17:30분까지)",유엔기념공원 부산광역시 남구 유엔평화로 93 유엔평화기념관 부산광역시 남구 홍곡로320번길 106,유엔기념공원 051-625-0625 유엔평화기념관 051-901-1400,https://www.unmck.or.kr/intro/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1016&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20201106141515814_ttiel,canon:AttractionService:1016:ko,dist=0m sim=1.000
VisitBusanContent:attraction:1014:ko,1014,힐링하기 좋은 부산 어촌마을,attraction,busan-A-00110,"힐링하기 좋은 부산 어촌마을 (한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,상시,대항어촌마을 부산광역시 강서구 가덕해안로1207번길 9-2 정거마을 부산광역시 강서구 눌차동,,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=1014&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20201030154341972_ttiel,canon:AttractionService:1014:ko,dist=0m sim=1.000
VisitBusanContent:attraction:848:ko,848,부산치유의 숲,attraction,busan-A-00107,"부산치유의 숲(한, 영)",0,1.0000,Y,matched,high,geo_title_category,매일,부산광역시 기장군 철마면 철마천로 101,051-976-2831,https://cafe.naver.com/busangreenforest,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=848&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20200729150013892_ttiel,canon:AttractionService:848:ko,dist=0m sim=1.000
VisitBusanContent:attraction:832:ko,832,오션블루 가덕휴게소,attraction,busan-A-00104,"오션블루 가덕휴게소(한, 중간)",0,1.0000,Y,matched,high,geo_title_category,오션블루 가덕휴게소 상시 홍보전시관 화~일 09:00 ~ 17:00 하절기(5월~10월) 10:00 ~ 17:00 동절기(11월~4월),부산광역시 강서구 거가대로 2571,홍보전시관 070-4050-6861 가덕휴게소 051-715-2200,https://www.gklink.com/index.php,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=832&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20200717114524295_ttiel,canon:AttractionService:832:ko,dist=0m sim=1.000
VisitBusanContent:attraction:304:ko,304,"철새와 함께하는 아름다운 문화의 향연, 을숙도",attraction,busan-A-00040,"철새와 함께하는 아름다운 문화의 향연, 을숙도(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,을숙도생태공원 매일 *야간출입 제한(20:00~익일 08:00) 낙동강하구에코센터 화~일요일 09:00~18:00,부산광역시 사하구 낙동남로 1240,051-209-2031,http://wetland.busan.go.kr,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=304&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191226143325464_ttiel,canon:AttractionService:304:ko,dist=0m sim=1.000
VisitBusanContent:attraction:266:ko,266,구 백제병원,attraction,busan-A-00011,"구 백제병원 (한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,브라운핸즈백제 10:00 - 21:30 (라스트 오더 21:20) 갤러리 이비나인 11:00 - 18:00,부산광역시 동구 중앙대로209번길 16,브라운핸즈백제 051-464-0332 갤러리 이비나인 0507-1317-8918,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=266&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225145805369_ttiel,canon:AttractionService:266:ko,dist=0m sim=1.000
VisitBusanContent:attraction:370:ko,370,"중앙공원, 민주공원",attraction,busan-A-00067,"중앙공원, 민주공원",0,1.0000,Y,matched,high,geo_title_category,충혼탑 9:00 ~ 18:00(3~10월) 09:00 ~ 17:00(11~2월) 민주항쟁기념관 09:00 ~ 18:00 민주공원 09:00 ~ 18:00,중앙공원 부산광역시 서구 망양로 193번길 187 민주공원 부산광역시 중구 민주공원길 19,중앙공원 051-860-7800 민주공원 051-790-7400,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=370&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191229150845004_ttiel,canon:AttractionService:370:ko,dist=0m sim=1.000
VisitBusanContent:attraction:265:ko,265,"부산바다의 과거와 현재, 일광해수욕장",attraction,busan-A-00010,"부산바다의 과거와 현재, 일광해수욕장",0,1.0000,Y,matched,high,geo_title_category,09:00~18:00 (개장 중 입수가능 시간),부산광역시 기장군 일광읍 삼성리 143-10,051-709-5446,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=265&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225143353231_ttiel,canon:AttractionService:265:ko,dist=0m sim=1.000
VisitBusanContent:attraction:267:ko,267,백산기념관,attraction,busan-A-00012,백산기념관,0,1.0000,Y,matched,high,geo_title_category,"화~금 10:00~18:00 토, 일 10:00~17:00",부산광역시 중구 백산길 11,051-600-4041,http://www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000208002001000&link=success&cpath=%2Ftour,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=267&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225150331107_ttiel,canon:AttractionService:267:ko,dist=0m sim=1.000
VisitBusanContent:attraction:270:ko,270,부산해양자연사박물관,attraction,busan-A-00015,부산해양자연사박물관,0,1.0000,Y,matched,high,geo_title_category,화~일 09:00~18:00(입장마감 17:00까지),부산광역시 동래구 우장춘로 175,051-553-4944~5,http://sea.busan.go.kr,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=270&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151830289_ttiel,canon:AttractionService:270:ko,dist=0m sim=1.000
VisitBusanContent:attraction:550:ko,550,부산타워,attraction,busan-A-00100,"부산타워(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,10:00 - 22:00(발권마감 21:30),부산광역시 중구 용두산길 37-30,051-601-1800,https://www.instagram.com/busantower_official,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=550&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20200206095452989_ttiel,canon:AttractionService:550:ko,dist=0m sim=1.000
VisitBusanContent:attraction:269:ko,269,조선통신사역사관,attraction,busan-A-00014,"조선통신사역사관(한,영,중간,중번,일)",0,1.0000,Y,matched,high,geo_title_category,09:00~18:00 마지막 입장시간: 17:30,부산광역시 동구 자성로99,051-631-0858,http://www.tongsinsa.com/html/,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201001001000&uc_seq=269&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20191225151358656_ttiel,canon:AttractionService:269:ko,dist=0m sim=1.000
VisitBusanContent:food:2386:ko,2386,히떼로스터리 전포점,food,busan-F-00437,히떼로스터리 전포점,0,1.0000,Y,matched,high,geo_title_category,10:00-20:00,부산진구 동성로 59 2층,070-7607-7060,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2386&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250523164409148_ttiel,canon:FoodService:2386:ko,dist=0m sim=1.000
VisitBusanContent:food:2384:ko,2384,우봉샤브,food,busan-F-00436,우봉샤브,0,1.0000,Y,matched,high,geo_title_category,11:00-15:00 / 17:00-21:00,해운대구 청사포로 127,0507-1349-9256,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2384&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250522162933740_ttiel,canon:FoodService:2384:ko,dist=0m sim=1.000
VisitBusanContent:food:2381:ko,2381,고기형,food,busan-F-00435,고기형,0,1.0000,Y,matched,high,geo_title_category,17:00-02:00,수영구 수영로679번길 22,0507-1445-9312,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2381&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250516162239090_ttiel,canon:FoodService:2381:ko,dist=0m sim=1.000
VisitBusanContent:food:2379:ko,2379,대성갈치찌개구이,food,busan-F-00434,대성갈치찌개구이,0,1.0000,Y,matched,high,geo_title_category,11:00-20:30,기장군 기장읍 대변2길 9,051-721-2289,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2379&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250516132502489_ttiel,canon:FoodService:2379:ko,dist=0m sim=1.000
VisitBusanContent:food:2371:ko,2371,연화제과,food,busan-F-00433,연화제과,0,1.0000,Y,matched,high,geo_title_category,11:00-18:00,부산진구 새싹로 265번길 12,0507-1415-4191,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2371&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250507155421924_ttiel,canon:FoodService:2371:ko,dist=0m sim=1.000
VisitBusanContent:food:2370:ko,2370,해운대암소갈비집,food,busan-F-00432,해운대암소갈비집,0,1.0000,Y,matched,high,geo_title_category,11:30-15:00/17:00-22:00,해운대구 해운대해변로333,051-746-3333,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2370&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250507154200232_ttiel,canon:FoodService:2370:ko,dist=0m sim=1.000
VisitBusanContent:food:2367:ko,2367,청산1954,food,busan-F-00431,청산1954,0,1.0000,Y,matched,high,geo_title_category,11:00-15:30 / 17:00-20:50,수영구 황령산로 29,051-622-1954,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2367&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408144017778_ttiel,canon:FoodService:2367:ko,dist=0m sim=1.000
VisitBusanContent:food:2366:ko,2366,조이풀조이풀(골드핀치by조이풀조이풀),food,busan-F-00430,조이풀조이풀(골드핀치by조이풀조이풀),0,1.0000,Y,matched,high,geo_title_category,18:00-23:00,"수영구 민락본동로11번길 21, 1층",0507-1342-3814,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2366&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408143450330_ttiel,canon:FoodService:2366:ko,dist=0m sim=1.000
VisitBusanContent:food:2365:ko,2365,자매국밥,food,busan-F-00429,자매국밥,0,1.0000,Y,matched,high,geo_title_category,10:00-21:00,수영구 민락본동로27번길 56,051-752-1912,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2365&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408142939682_ttiel,canon:FoodService:2365:ko,dist=0m sim=1.000
VisitBusanContent:food:2364:ko,2364,으뜸이로리바타,food,busan-F-00428,으뜸이로리바타,0,1.0000,Y,matched,high,geo_title_category,월-목 19:00-22:00(1부제) 금-토 17:30~22:00(2부제),"수영구 수영로408번길 20, 1층",0507-1460-4790,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2364&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408140215924_ttiel,canon:FoodService:2364:ko,dist=0m sim=1.000
VisitBusanContent:food:2363:ko,2363,우리포차,food,busan-F-00427,우리포차,0,1.0000,Y,matched,high,geo_title_category,16:00-23:00,"수영구 광일로29번길 9, 1층",010-8033-6342,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2363&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408135630428_ttiel,canon:FoodService:2363:ko,dist=0m sim=1.000
VisitBusanContent:food:2362:ko,2362,야키토리 해공,food,busan-F-00426,야키토리 해공,0,1.0000,Y,matched,high,geo_title_category,17:30-23:30,"수영구 민락본동로 19번길 30-5, 1층",051-758-8333,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2362&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408135037039_ttiel,canon:FoodService:2362:ko,dist=0m sim=1.000
VisitBusanContent:food:2361:ko,2361,야키토리 백탄,food,busan-F-00425,야키토리 백탄,0,1.0000,Y,matched,high,geo_title_category,17:30-23:30,"수영구 민락로13번길 21, 2층",0507-1332-6043,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2361&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408134146562_ttiel,canon:FoodService:2361:ko,dist=0m sim=1.000
VisitBusanContent:food:2360:ko,2360,아펙트,food,busan-F-00424,아펙트,0,1.0000,Y,matched,high,geo_title_category,18:00-21:00,"수영구 무학로 64번길 31, 1층",0507-1307-7822,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2360&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408133516752_ttiel,canon:FoodService:2360:ko,dist=0m sim=1.000
VisitBusanContent:food:2359:ko,2359,백일평냉,food,busan-F-00423,백일평냉,0,1.0000,Y,matched,high,geo_title_category,11:30-15:30 / 17:00-19:00,"수영구 남천바다로10번길 29, 1층",051-625-5515,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2359&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408132935773_ttiel,canon:FoodService:2359:ko,dist=0m sim=1.000
VisitBusanContent:food:2358:ko,2358,데일리럭키,food,busan-F-00422,데일리럭키,0,1.0000,Y,matched,high,geo_title_category,07:00-20:00,수영구 수영로 540번길 7,0507-1330-1707,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2358&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408132244401_ttiel,canon:FoodService:2358:ko,dist=0m sim=1.000
VisitBusanContent:food:2357:ko,2357,닭발의 지존,food,busan-F-00421,닭발의 지존,0,1.0000,Y,matched,high,geo_title_category,16:00-24:00,수영구 연수로 374,051-865-8449,,https://www.visitbusan.net/kr/index.do?menuCd=DOM_000000201002001000&uc_seq=2357&lang_cd=ko,https://www.visitbusan.net/uploadImgs/files/cntnts/20250408131658485_ttiel,canon:FoodService:2357:ko,dist=0m sim=1.000
